"","Galega","Cobrancosa","Arbequina","CordovilTM","VerdealTM","Madural","Picual","CordovilSe","results_galega","results_cobrancosa","results_arbequina","results_picual","results_cordovilTM","results_cordovilSE","results_madural","results_verdeal","bio2","bio3","bio13","bio15","nffd_wgs84","eref_wgs84","OCD","pH","Sand","TRI","TWI"
"327",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.173394203186,46.5698127746582,133.58821105957,52.1888236999512,360.867279052734,936.617858886719,399.428070068359,61.2043075561523,409.538513183594,4.83143281936646,11.2089443206787
"328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8106803894043,46.7680740356445,137.686309814453,53.0059204101562,360.794250488281,911.1591796875,414.083129882812,61.5216827392578,497.700775146484,4.58624362945557,11.2417783737183
"329",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52088832855225,46.959659576416,140.510635375977,54.0099029541016,361.026153564453,893.490539550781,386.924102783203,59.4980888366699,427.062164306641,5.68879508972168,11.0604810714722
"330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.06756782531738,47.004940032959,144.143997192383,55.0491905212402,360.882354736328,872.859680175781,312.10595703125,46.0325012207031,338.577850341797,5.78113079071045,11.0637340545654
"331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0062351226807,43.3459854125977,122.961242675781,55.3808975219727,360.242218017578,974.258666992188,424.050415039062,60.5553131103516,462.5859375,14.6707944869995,9.87672233581543
"332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0339260101318,43.2022438049316,129.184326171875,54.4024085998535,358.602844238281,973.295959472656,409.285614013672,59.8777961730957,447.714874267578,14.0624475479126,9.76585578918457
"333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0899839401245,43.0354080200195,136.608627319336,53.6390686035156,358.022918701172,973.694396972656,415.478118896484,60.1842155456543,479.002044677734,12.9801692962646,9.80406665802002
"334",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4265146255493,44.2673759460449,135.83869934082,52.7266654968262,358.487915039062,991.853332519531,424.008026123047,60.0420951843262,487.164093017578,19.5247917175293,9.2707986831665
"335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8837327957153,46.3458442687988,130.129135131836,51.8243598937988,360.304626464844,1013.60809326172,365.437316894531,54.8326950073242,440.583984375,13.1571187973022,9.95677185058594
"336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8736124038696,47.9020729064941,129.823944091797,51.6386070251465,360.813385009766,1009.24884033203,332.581573486328,51.8903465270996,378.012725830078,10.168607711792,10.3952722549438
"337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5659885406494,46.8995056152344,138.649993896484,51.9362258911133,359.951049804688,986.045288085938,396.049987792969,60.3114128112793,410.529693603516,8.77997779846191,10.5561037063599
"338",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3716831207275,47.090145111084,143.178848266602,52.5953178405762,360.061248779297,960.107299804688,394.194610595703,61.9289970397949,421.838165283203,7.25390768051147,10.7924499511719
"339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.98718357086182,47.3232727050781,147.07600402832,53.3627433776855,359.976013183594,939.511657714844,370.148376464844,55.6248016357422,354.200286865234,7.33840942382812,10.7196998596191
"340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.54493427276611,47.1152038574219,152.683212280273,54.010570526123,359.592315673828,920.621887207031,376.585235595703,53.1945991516113,381.629699707031,10.3700819015503,10.2799415588379
"341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84297752380371,41.9043617248535,131.730514526367,55.8224220275879,358.704925537109,984.036499023438,421.736145019531,59.6902122497559,398.527069091797,19.6156597137451,9.24990558624268
"342",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.90774059295654,42.0826988220215,137.642990112305,55.1182327270508,356.728424072266,980.473266601562,418.880493164062,58.3144607543945,452.283569335938,23.3368549346924,8.94062042236328
"343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.88619518280029,41.7972564697266,148.025817871094,54.491813659668,352.170623779297,959.442932128906,419.875518798828,57.694408416748,492.600189208984,27.2909164428711,8.79963970184326
"344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3908834457397,43.6618576049805,143.194885253906,53.2817573547363,354.942626953125,1001.40032958984,406.102020263672,58.0560646057129,465.328186035156,23.787389755249,8.98945999145508
"345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8588151931763,45.4438552856445,140.208267211914,52.6068725585938,358.871673583984,1033.25744628906,409.796020507812,58.6610527038574,482.476928710938,28.3627109527588,8.73709678649902
"346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4002294540405,44.6022987365723,153.236602783203,52.9804382324219,355.280609130859,1003.59252929688,419.806884765625,55.3719863891602,494.458557128906,34.5473937988281,8.43043041229248
"347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2957878112793,44.775764465332,159.278747558594,53.2615127563477,355.500671386719,991.400390625,430.916137695312,57.5743751525879,507.325531005859,24.7142162322998,8.86740112304688
"348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.97371864318848,44.665843963623,165.44694519043,53.7668228149414,354.81982421875,973.285278320312,430.679748535156,56.83544921875,518.876770019531,23.6639652252197,9.05222034454346
