"","bio2","bio3","bio13","bio15","nffd_wgs84","eref_wgs84","OCD","pH","Sand","TRI","TWI"
"116",89.2442398071289,41.8663139343262,103.058479309082,67.5727157592773,344.632415771484,1286.42944335938,335.141662597656,49.0440139770508,505.938385009766,19.357536315918,9.24206256866455
"117",88.505012512207,41.7876052856445,101.260932922363,67.8705596923828,341.951782226562,1282.69494628906,336.60546875,48.38720703125,561.393188476562,3.32938838005066,11.621696472168
"118",87.402229309082,41.7176513671875,101.192192077637,67.7714691162109,334.064208984375,1265.34204101562,320.865112304688,46.1109771728516,512.368957519531,2.75717163085938,11.5776081085205
"119",93.1395111083984,43.7422294616699,88.1625900268555,68.9566116333008,364.348022460938,1307.19775390625,361.235198974609,52.5187606811523,494.723236083984,4.67581272125244,11.2458696365356
"120",91.6793441772461,42.0215148925781,96.6728286743164,67.7520980834961,344.712707519531,1283.1513671875,263.308349609375,39.038761138916,439.508361816406,4.25461626052856,11.3536186218262
"121",90.7598495483398,41.8211708068848,98.7026901245117,67.5028762817383,341.370086669922,1279.05590820312,392.215423583984,58.4703102111816,687.812622070312,2.28287887573242,11.9506511688232
"122",89.7314605712891,41.4489784240723,99.6547088623047,67.5748901367188,341.783782958984,1283.57446289062,402.783477783203,58.8452987670898,687.461120605469,2.8296914100647,11.7545146942139
"123",88.4663391113281,41.3082618713379,101.195960998535,67.2376174926758,340.389984130859,1284.59729003906,402.040893554688,58.8407897949219,689.35302734375,2.82137274742126,11.7921800613403
"124",95.9321136474609,43.1529121398926,92.0177230834961,68.3749694824219,363.973724365234,1301.66662597656,408.931640625,56.7807655334473,509.728332519531,8.93384075164795,10.4368257522583
"125",95.9357528686523,43.0328521728516,92.5211486816406,68.3723678588867,363.014678955078,1302.52282714844,406.741760253906,57.7587089538574,525.533142089844,11.0879993438721,10.2054567337036
"126",95.7818374633789,42.929988861084,92.4106903076172,67.9424667358398,361.617492675781,1304.61657714844,413.964752197266,57.8984031677246,560.357543945312,7.72590494155884,10.729621887207
