"","bio2","bio3","bio13","bio15","nffd_wgs84","eref_wgs84","OCD","pH","Sand","TRI","TWI"
"528",98.031364440918,39.9252166748047,108.520324707031,75.9088363647461,324.321502685547,1133.54309082031,401.058410644531,61.3657302856445,450.734680175781,19.5958061218262,9.37645816802979
"529",100.077072143555,39.9158782958984,106.824859619141,75.3208541870117,342.761566162109,1162.994140625,392.919708251953,63.5717353820801,474.036102294922,11.553050994873,10.2944555282593
"530",101.863075256348,39.9388198852539,103.59895324707,74.6237640380859,349.276275634766,1175.34045410156,344.064331054688,62.9589080810547,500.287750244141,9.41313171386719,10.4905424118042
"531",103.424072265625,39.9659957885742,99.1528930664062,74.2091827392578,350.737121582031,1183.73522949219,342.158813476562,62.4056243896484,512.404235839844,14.1434698104858,10.0669031143188
"532",106.259887695312,40.0012130737305,100.265258789062,72.8993072509766,344.734313964844,1181.03100585938,333.123229980469,60.8198509216309,520.105224609375,12.0520477294922,10.2600965499878
"533",108.463737487793,40,98.9431991577148,72.4092483520508,330.635345458984,1163.26354980469,341.234344482422,61.0264778137207,522.880554199219,12.4526329040527,10.2624759674072
"534",110.801612854004,40.1259002685547,98.3502655029297,71.8908538818359,297.248779296875,1114.29919433594,334.365600585938,62.0435638427734,507.831390380859,9.99537467956543,10.5780458450317
"535",91.937629699707,39.636474609375,99.4356460571289,77.0515441894531,309.9453125,1096.60388183594,411.009704589844,59.5620079040527,419.444671630859,9.15832901000977,10.5551891326904
"536",94.7130889892578,39.394229888916,104.21915435791,75.6430435180664,285.888458251953,1074.61315917969,418.408294677734,61.6808433532715,434.145568847656,17.8033599853516,9.52175903320312
"537",96.1361236572266,39.2701301574707,100.995796203613,75.329460144043,336.44287109375,1140.7255859375,394.624877929688,61.0828094482422,436.514892578125,17.5960330963135,9.59152030944824
"538",98.6529922485352,39.1859474182129,102.480415344238,74.1608352661133,333.741027832031,1143.66662597656,389.2626953125,63.3511085510254,478.165893554688,11.6650419235229,10.3168087005615
"539",100.15837097168,39.2426834106445,97.7936096191406,73.7034225463867,336.782135009766,1151.23388671875,369.558715820312,62.0942001342773,512.068054199219,15.0996389389038,9.93856048583984
"540",102.631378173828,39.447883605957,97.4622650146484,72.8956832885742,342.566711425781,1164.86486816406,339.222900390625,61.7242660522461,515.26220703125,10.3157548904419,10.3927040100098
"541",105.356773376465,39.4876899719238,98.3998031616211,72.099235534668,342.415649414062,1171.09704589844,329.165802001953,60.3085975646973,523.876525878906,9.52521324157715,10.6518955230713
"542",107.666358947754,39.6486206054688,97.3842163085938,71.666130065918,335.205810546875,1164.80920410156,334.719543457031,59.6535949707031,534.702270507812,9.6589241027832,10.7124586105347
"543",109.609466552734,39.7444915771484,97.4903564453125,70.8324432373047,313.9345703125,1134.63623046875,335.657531738281,59.7621650695801,534.789001464844,9.3100471496582,10.5311946868896
"544",90.179069519043,39.0000495910645,93.3290786743164,76.105712890625,309.676177978516,1092.28161621094,323.654968261719,48.9095916748047,401.646362304688,4.42961502075195,11.3423843383789
"545",91.7317581176758,38.9169044494629,94.0673294067383,75.2803649902344,286.679077148438,1071.34875488281,394.306671142578,61.5247192382812,437.112457275391,10.8628959655762,10.2153053283691
"546",93.8703308105469,38.9027366638184,94.3995819091797,74.3120269775391,343.649139404297,1142.7041015625,394.188507080078,59.6990966796875,426.625518798828,17.8121738433838,9.39724349975586
"547",96.4411849975586,38.887752532959,95.4074630737305,73.6106643676758,323.748992919922,1125.4072265625,392.760009765625,60.2383575439453,478.103881835938,16.8858509063721,9.63725566864014
"548",98.3074569702148,39,93.6382522583008,73.3091201782227,326.585968017578,1133.64514160156,382.288726806641,57.3499145507812,469.028381347656,17.7134227752686,9.51483345031738
"549",101.392631530762,39,93.3428192138672,72.0466613769531,319.904388427734,1129.13696289062,300.244689941406,53.8024291992188,453.826904296875,12.8935174942017,10.040810585022
"550",104.139907836914,39.0000190734863,94.8650741577148,70.8271636962891,335.053131103516,1155.00158691406,324.081329345703,60.3599014282227,512.361206054688,9.54583644866943,10.4719657897949
"551",106.733184814453,39.0044937133789,97.4037094116211,70.710563659668,333.166381835938,1157.20190429688,333.521667480469,59.0120391845703,526.440002441406,7.11730241775513,10.9427042007446
"552",108.415008544922,39.0041389465332,97.2203979492188,69.7923583984375,319.931640625,1140.22338867188,317.999084472656,58.1835708618164,519.494445800781,6.42290592193604,11.1277542114258
"553",89.5684432983398,39,89.7255249023438,74,274.671691894531,1055.55651855469,340.242218017578,49.4544486999512,322.837860107422,1.00968587398529,12.81312084198
"554",105.360038757324,38.6747169494629,93.4086227416992,69.6898040771484,331.322570800781,1150.13806152344,339.953002929688,61.8524513244629,526.00634765625,13.9403591156006,10.1310005187988
"555",107.228164672852,38.4311943054199,94.5520935058594,69.1201095581055,331.032318115234,1153.47998046875,324.359924316406,60.1933250427246,505.157836914062,6.77013349533081,10.9578304290771
"556",106.73023223877,38,90.9629211425781,68.6605224609375,323.088989257812,1137.75830078125,327.665374755859,62.5043830871582,508.661987304688,11.5091428756714,10.4143371582031
"557",114.198554992676,40.8855247497559,103.358512878418,71.9330673217773,296.380310058594,1121.01928710938,317.3369140625,57.3643836975098,538.176086425781,5.26404809951782,11.162070274353
"558",113.933753967285,40.8445587158203,102.453773498535,71.20361328125,327.065032958984,1173.30395507812,325.284118652344,57.5125007629395,507.920257568359,5.5551586151123,11.0194005966187
"559",112.430503845215,40.3445167541504,102.699890136719,70.7668762207031,332.867797851562,1188.06420898438,326.097595214844,58.3438758850098,515.190795898438,5.46250057220459,11.3251504898071
"560",110.59782409668,40.0012741088867,109.226364135742,70.093376159668,331.2841796875,1185.94580078125,353.168029785156,58.2277793884277,478.312652587891,9.50120162963867,10.4681081771851
"561",108.488121032715,39.6413459777832,108.506828308105,69.5417556762695,343.620208740234,1214.95751953125,346.43310546875,58.2634735107422,523.798034667969,6.38198280334473,10.8717527389526
"562",106.60546875,39.2595176696777,106.935935974121,69.2050704956055,344.1787109375,1218.54406738281,332.325317382812,58.9226989746094,573.872985839844,4.2078857421875,11.3811407089233
"563",104.647827148438,39.0162773132324,109.035675048828,68.7218627929688,341.928802490234,1214.46203613281,338.294891357422,58.3575820922852,558.549377441406,4.14987277984619,11.4904699325562
