"varieties_present","galega","cobrancosa","arbequina","picual","cordovilTM","cordovilSE","madural","verdeal"
"3",0.609010008897121,0,0,0,0.492732444462386,0.474750661295479,0,0
"3",0.618427809790318,0,0,0,0.510173972605949,0.486294230671098,0,0
"3",0.593846011357936,0,0,0,0.488205548866384,0.482815586607479,0,0
"3",0.598919938857197,0,0,0,0.509012135448113,0.48137183340758,0,0
"3",0.6524056055986,0,0,0,0.499247483915592,0.51341010618571,0,0
"3",0.614923413692704,0,0,0,0.468038421405127,0.450584256921361,0,0
"3",0.59166818546828,0,0,0,0.471547694250308,0.47434108825827,0,0
"3",0.593728267778829,0,0,0,0.496473247443014,0.47304910245691,0,0
"2",0.654019207149983,0,0,0,0,0.423808805586387,0,0
"3",0.630233975052451,0,0,0,0.495003783794265,0.505485606422663,0,0
"3",0.649130657775732,0,0,0,0.517430503528051,0.518533410803743,0,0
"3",0.594789599483434,0,0,0,0.547429305426491,0.474778473554963,0,0
"3",0.623643184862418,0,0,0,0.55905017517537,0.495573653123957,0,0
"3",0.649521063331995,0,0,0,0.530142996778065,0.518644460206458,0,0
"3",0.655602465319592,0,0,0,0.517062633099562,0.535082090352451,0,0
"3",0.639927301860071,0,0,0,0.519099211099153,0.551015251169454,0,0
"3",0.611392657180491,0,0,0,0.539033366472351,0.563680342949141,0,0
"3",0.602479027341073,0,0,0,0.564739854335608,0.468031534169131,0,0
"3",0.613339206583186,0,0,0,0.547554767937963,0.580953291323213,0,0
"3",0.606252135728424,0,0,0,0.541687218250873,0.58621105603897,0,0
"3",0.653716464065117,0,0,0,0.528495732274525,0.597891142603755,0,0
"3",0.631968705620527,0,0,0,0.558548174189151,0.518170992227103,0,0
"3",0.63671072767502,0,0,0,0.586572925514853,0.625593767167474,0,0
"4",0.618582349007252,0.544436494999513,0,0,0.539535286518115,0.52260363477826,0,0
"3",0.604919087165961,0,0,0,0.510487178622644,0.467202457185924,0,0
"3",0.610721896502327,0,0,0,0.559570548753485,0.585148381800085,0,0
"3",0.603981718862641,0,0,0,0.54274033724202,0.582723837522159,0,0
"3",0.612027410604254,0,0,0,0.564834917394668,0.589844541153128,0,0
"3",0.637773237382461,0,0,0,0.570441074829872,0.512179899404988,0,0
"3",0.648470754737395,0,0,0,0.591527025179629,0.603866310361351,0,0
"3",0.646436728691734,0,0,0,0.592975696945223,0.608710705701357,0,0
"3",0.654071591774775,0,0,0,0.585256834535267,0.612819620575064,0,0
"3",0.649212180549056,0,0,0,0.524860541867293,0.501016174412821,0,0
"2",0.559615603843189,0,0,0,0,0.508646934319474,0,0
"2",0.545515841057706,0,0,0,0,0.625577518724682,0,0
"2",0.678271347257705,0,0,0,0,0.639089195338763,0,0
"2",0.61723858439659,0,0,0,0,0.530412192131053,0,0
"2",0.559569475923733,0,0,0,0,0.517659483205262,0,0
"2",0.623985448770452,0,0,0,0,0.486192082480666,0,0
"2",0.677390705007019,0,0,0,0,0.506899308560009,0,0
"2",0.645816040596491,0,0,0,0,0.501084611368895,0,0
"2",0.561213604408014,0,0,0,0,0.509377288676872,0,0
"2",0.551805727241198,0,0,0,0,0.501296501500957,0,0
"2",0.551811098435321,0,0,0,0,0.487669678253171,0,0
"2",0.564951875197184,0,0,0,0,0.591683385707766,0,0
"2",0.713718505128839,0,0,0,0,0.499738578361596,0,0
"2",0.707474077547775,0,0,0,0,0.501591280324654,0,0
"2",0.683431107171032,0,0,0,0,0.487402204664236,0,0
"2",0.610565103023896,0,0,0,0,0.467814423850236,0,0
"2",0.562867686627379,0,0,0,0,0.489232753153248,0,0
"2",0.61108050369009,0,0,0,0,0.525456924999122,0,0
"2",0.554988549071702,0,0,0,0,0.499412456500933,0,0
"2",0.551026330007002,0,0,0,0,0.527788763235746,0,0
"2",0.578871235009245,0,0,0,0,0.506312996391135,0,0
"2",0.578037691984243,0,0,0,0,0.48074510853315,0,0
"2",0.735915528193808,0,0,0,0,0.430850963530064,0,0
